Date,Home Team,Away Team
14/09/2021 16:45,29,2
14/09/2021 16:45,31,19
14/09/2021 16:45,25,24
14/09/2021 19:00,11,6
14/09/2021 19:00,4,5
14/09/2021 19:00,16,30
14/09/2021 19:00,17,13
14/09/2021 19:00,8,32
15/09/2021 16:45,7,10
15/09/2021 16:45,27,26
15/09/2021 19:00,9,21
15/09/2021 19:00,18,14
15/09/2021 19:00,3,22
15/09/2021 19:00,15,20
15/09/2021 19:00,28,1
15/09/2021 19:00,12,23
28/09/2021 16:45,1,7
28/09/2021 16:45,26,12
28/09/2021 19:00,21,18
28/09/2021 19:00,14,9
28/09/2021 19:00,22,15
28/09/2021 19:00,20,3
28/09/2021 19:00,10,28
28/09/2021 19:00,23,27
29/09/2021 16:45,2,31
29/09/2021 16:45,32,17
29/09/2021 19:00,5,11
29/09/2021 19:00,6,4
29/09/2021 19:00,19,29
29/09/2021 19:00,30,25
29/09/2021 19:00,24,16
29/09/2021 19:00,13,8
19/10/2021 16:45,9,18
19/10/2021 16:45,7,28
19/10/2021 19:00,21,14
19/10/2021 19:00,22,20
19/10/2021 19:00,3,15
19/10/2021 19:00,1,10
19/10/2021 19:00,12,27
19/10/2021 19:00,26,23
20/10/2021 16:45,4,11
20/10/2021 16:45,24,30
20/10/2021 19:00,6,5
20/10/2021 19:00,31,29
20/10/2021 19:00,19,2
20/10/2021 19:00,16,25
20/10/2021 19:00,8,17
20/10/2021 19:00,32,13
02/11/2021 17:45,30,24
02/11/2021 17:45,17,8
02/11/2021 20:00,11,4
02/11/2021 20:00,5,6
02/11/2021 20:00,29,31
02/11/2021 20:00,2,19
02/11/2021 20:00,25,16
02/11/2021 20:00,13,32
03/11/2021 17:45,20,22
03/11/2021 17:45,23,26
03/11/2021 20:00,18,9
03/11/2021 20:00,14,21
03/11/2021 20:00,15,3
03/11/2021 20:00,28,7
03/11/2021 20:00,10,1
03/11/2021 20:00,27,12
23/11/2021 17:45,11,5
23/11/2021 17:45,29,19
23/11/2021 20:00,4,6
23/11/2021 20:00,31,2
23/11/2021 20:00,16,24
23/11/2021 20:00,25,30
23/11/2021 20:00,17,32
23/11/2021 20:00,8,13
24/11/2021 17:45,7,1
24/11/2021 17:45,12,26
24/11/2021 20:00,9,14
24/11/2021 20:00,18,21
24/11/2021 20:00,3,20
24/11/2021 20:00,15,22
24/11/2021 20:00,28,10
24/11/2021 20:00,27,23
07/12/2021 17:45,21,9
07/12/2021 17:45,14,18
07/12/2021 20:00,20,15
07/12/2021 20:00,22,3
07/12/2021 20:00,10,7
07/12/2021 20:00,1,28
07/12/2021 20:00,23,12
07/12/2021 20:00,26,27
08/12/2021 17:45,13,17
08/12/2021 17:45,32,8
08/12/2021 20:00,6,11
08/12/2021 20:00,5,4
08/12/2021 20:00,19,31
08/12/2021 20:00,2,29
08/12/2021 20:00,24,25
08/12/2021 20:00,30,16
